1,210,FR-R92B-58,HL Road Frame - Black- 58,0,ROAD,Components,CO_RF,Road Frames,Yes,2003-07-01,NULL
2,211,FR-R92R-58,HL Road Frame - Red- 58,0,ROAD,Components,CO_RF,Road Frames,Yes,2003-07-01,NULL
3,348,BK-M82B-38,Mountain-100 Black- 38,1898,MOUNTAIN,Bikes,BI_MB,Mountain Bikes,Yes,2011-07-01,NULL
4,349,BK-M82B-42,Mountain-100 Black- 42,1898,MOUNTAIN,Bikes,BI_MB,Mountain Bikes,Yes,2011-07-01,NULL
5,350,BK-M82B-44,Mountain-100 Black- 44,1898,MOUNTAIN,Bikes,BI_MB,Mountain Bikes,Yes,2011-07-01,NULL
6,351,BK-M82B-48,Mountain-100 Black- 48,1898,MOUNTAIN,Bikes,BI_MB,Mountain Bikes,Yes,2011-07-01,NULL
7,344,BK-M82S-38,Mountain-100 Silver- 38,1912,MOUNTAIN,Bikes,BI_MB,Mountain Bikes,Yes,2011-07-01,NULL
8,345,BK-M82S-42,Mountain-100 Silver- 42,1912,MOUNTAIN,Bikes,BI_MB,Mountain Bikes,Yes,2011-07-01,NULL
9,346,BK-M82S-44,Mountain-100 Silver- 44,1912,MOUNTAIN,Bikes,BI_MB,Mountain Bikes,Yes,2011-07-01,NULL
10,347,BK-M82S-48,Mountain-100 Silver- 48,1912,MOUNTAIN,Bikes,BI_MB,Mountain Bikes,Yes,2011-07-01,NULL
11,338,BK-R50B-44,Road-650 Black- 44,413,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,2012-06-30
12,340,BK-R50B-48,Road-650 Black- 48,413,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,2012-06-30
13,342,BK-R50B-52,Road-650 Black- 52,413,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,2012-06-30
14,332,BK-R50B-58,Road-650 Black- 58,413,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,2012-06-30
15,334,BK-R50B-60,Road-650 Black- 60,413,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,2012-06-30
16,336,BK-R50B-62,Road-650 Black- 62,413,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,2012-06-30
17,326,BK-R50R-44,Road-650 Red- 44,413,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,2012-06-30
18,328,BK-R50R-48,Road-650 Red- 48,413,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,2012-06-30
19,330,BK-R50R-52,Road-650 Red- 52,413,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,2012-06-30
20,320,BK-R50R-58,Road-650 Red- 58,413,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,2012-06-30
21,322,BK-R50R-60,Road-650 Red- 60,413,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,2012-06-30
22,324,BK-R50R-62,Road-650 Red- 62,413,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,2012-06-30
23,317,BK-R68R-44,Road-450 Red- 44,885,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,NULL
24,318,BK-R68R-48,Road-450 Red- 48,885,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,NULL
25,319,BK-R68R-52,Road-450 Red- 52,885,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,NULL
26,315,BK-R68R-58,Road-450 Red- 58,885,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,NULL
27,316,BK-R68R-60,Road-450 Red- 60,885,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,NULL
28,311,BK-R93R-44,Road-150 Red- 44,2171,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,NULL
29,312,BK-R93R-48,Road-150 Red- 48,2171,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,NULL
30,313,BK-R93R-52,Road-150 Red- 52,2171,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,NULL
31,314,BK-R93R-56,Road-150 Red- 56,2171,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,NULL
32,310,BK-R93R-62,Road-150 Red- 62,2171,ROAD,Bikes,BI_RB,Road Bikes,Yes,2011-07-01,NULL
33,223,CA-1098,AWC Logo Cap,6,OTHER SALES,Clothing,CL_CA,Caps,No,2011-07-01,2012-06-30
34,304,FR-M94B-38,HL Mountain Frame - Black- 38,617,MOUNTAIN,Components,CO_MF,Mountain Frames,Yes,2011-07-01,2012-06-30
35,296,FR-M94B-42,HL Mountain Frame - Black- 42,617,MOUNTAIN,Components,CO_MF,Mountain Frames,Yes,2011-07-01,2012-06-30
36,299,FR-M94B-44,HL Mountain Frame - Black- 44,699,MOUNTAIN,Components,CO_MF,Mountain Frames,Yes,2011-07-01,NULL
37,301,FR-M94B-46,HL Mountain Frame - Black- 46,617,MOUNTAIN,Components,CO_MF,Mountain Frames,Yes,2011-07-01,2012-06-30
38,300,FR-M94B-48,HL Mountain Frame - Black- 48,699,MOUNTAIN,Components,CO_MF,Mountain Frames,Yes,2011-07-01,NULL
39,307,FR-M94S-38,HL Mountain Frame - Silver- 38,624,MOUNTAIN,Components,CO_MF,Mountain Frames,Yes,2011-07-01,2012-06-30
40,288,FR-M94S-42,HL Mountain Frame - Silver- 42,624,MOUNTAIN,Components,CO_MF,Mountain Frames,Yes,2011-07-01,2012-06-30
41,291,FR-M94S-44,HL Mountain Frame - Silver- 44,707,MOUNTAIN,Components,CO_MF,Mountain Frames,Yes,2011-07-01,NULL
42,293,FR-M94S-46,HL Mountain Frame - Silver- 46,624,MOUNTAIN,Components,CO_MF,Mountain Frames,Yes,2011-07-01,2012-06-30
43,292,FR-M94S-52,HL Mountain Frame - Silver- 48,707,MOUNTAIN,Components,CO_MF,Mountain Frames,Yes,2011-07-01,NULL
44,279,FR-R38B-44,LL Road Frame - Black- 44,176,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,2012-06-30
45,282,FR-R38B-48,LL Road Frame - Black- 48,176,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,2012-06-30
46,285,FR-R38B-52,LL Road Frame - Black- 52,176,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,2012-06-30
47,253,FR-R38B-58,LL Road Frame - Black- 58,176,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,2012-06-30
48,256,FR-R38B-60,LL Road Frame - Black- 60,176,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,2012-06-30
49,259,FR-R38B-62,LL Road Frame - Black- 62,176,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,2012-06-30
50,262,FR-R38R-44,LL Road Frame - Red- 44,181,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,2012-06-30
51,264,FR-R38R-48,LL Road Frame - Red- 48,181,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,2012-06-30
52,266,FR-R38R-52,LL Road Frame - Red- 52,181,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,2012-06-30
53,268,FR-R38R-58,LL Road Frame - Red- 58,181,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,2012-06-30
54,270,FR-R38R-60,LL Road Frame - Red- 60,181,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,2012-06-30
55,272,FR-R38R-62,LL Road Frame - Red- 62,181,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,2012-06-30
56,274,FR-R72R-44,ML Road Frame - Red- 44,352,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,NULL
57,275,FR-R72R-48,ML Road Frame - Red- 48,352,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,NULL
58,276,FR-R72R-52,ML Road Frame - Red- 52,352,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,NULL
59,277,FR-R72R-58,ML Road Frame - Red- 58,352,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,NULL
60,278,FR-R72R-60,ML Road Frame - Red- 60,352,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,NULL
61,241,FR-R92R-44,HL Road Frame - Red- 44,748,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,2012-06-30
62,244,FR-R92R-48,HL Road Frame - Red- 48,748,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,2012-06-30
63,247,FR-R92R-52,HL Road Frame - Red- 52,748,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,2012-06-30
64,250,FR-R92R-56,HL Road Frame - Red- 56,748,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,2012-06-30
65,238,FR-R92R-62,HL Road Frame - Red- 62,748,ROAD,Components,CO_RF,Road Frames,Yes,2011-07-01,2012-06-30
66,215,HL-U509,Sport-100 Helmet- Black,12,OTHER SALES,Accessories,AC_HE,Helmets,Yes,2011-07-01,2012-06-30
67,220,HL-U509-B,Sport-100 Helmet- Blue,12,OTHER SALES,Accessories,AC_HE,Helmets,Yes,2011-07-01,2012-06-30
68,212,HL-U509-R,Sport-100 Helmet- Red,12,OTHER SALES,Accessories,AC_HE,Helmets,Yes,2011-07-01,2012-06-30
69,232,LJ-0192-L,Long-Sleeve Logo Jersey- L,32,OTHER SALES,Clothing,CL_JE,Jerseys,No,2011-07-01,2012-06-30
